Date,Year,Month,Day,Season,Country,City,Temperature_C,Humidity_%,WindSpeed_mps,Pressure_hPa,Rainfall_mm,Visibility_km,UV_Index,PM2_5,PM10,NO2,SO2,CO,Ozone,NH3,Aerosol_Optical_Depth,Traffic_Density,Industrial_Activity,Green_Cover_%,Population_Density,AQI,AQI_Category
2025-07-30,2025,7,30,Monsoon,Japan,Nagoya,16.8,85.0,10.5,1013.8,4.7,8.3,9.2,23.5,50.8,26.1,11.2,1.07,28.4,10.6,0.53,81,57,15,1179,125,Unhealthy for Sensitive Groups
2024-03-21,2024,3,21,Summer,USA,Seattle,23.3,58.0,3.4,1019.4,4.0,8.6,3.5,29.8,49.9,47.1,9.6,0.5,18.0,21.1,0.29,74,84,61,2873,135,Unhealthy for Sensitive Groups
2024-12-25,2024,12,25,Winter,France,Paris,43.1,63.0,2.5,1012.5,4.1,7.7,5.7,22.0,54.4,22.9,8.0,0.45,37.0,22.4,0.26,20,56,19,8541,110,Unhealthy for Sensitive Groups
2024-01-06,2024,1,6,Winter,China,Guangzhou,9.5,73.0,11.2,1016.2,7.6,8.5,5.4,98.1,109.1,9.7,15.3,1.26,37.2,20.4,0.14,21,98,41,5908,290,Very Unhealthy
2025-11-29,2025,11,29,Autumn,Germany,Hamburg,25.7,46.0,7.7,1015.1,6.0,5.8,5.8,32.9,43.0,19.4,6.9,0.57,26.3,26.3,0.4,39,53,56,2158,113,Unhealthy for Sensitive Groups
2024-11-07,2024,11,7,Autumn,USA,Chicago,31.2,41.0,6.7,1007.0,5.8,8.8,6.2,55.1,93.5,23.2,12.2,2.16,43.6,14.5,0.52,42,79,53,22451,201,Very Unhealthy
2024-07-13,2024,7,13,Monsoon,Australia,Melbourne,32.7,88.0,3.9,998.3,11.7,6.6,7.0,19.5,55.1,17.2,10.8,0.34,54.5,15.6,0.41,53,48,6,1110,119,Unhealthy for Sensitive Groups
2025-11-15,2025,11,15,Autumn,South Africa,Pretoria,30.2,41.0,3.2,1020.8,0.0,9.0,5.9,29.1,67.5,33.7,16.2,1.71,34.5,23.6,0.74,41,47,31,6530,143,Unhealthy for Sensitive Groups
2025-08-16,2025,8,16,Monsoon,China,Wuhan,30.1,44.0,5.0,1010.7,0.8,10.6,10.9,22.6,56.9,33.2,20.1,1.92,36.2,21.7,0.41,32,74,17,3684,128,Unhealthy for Sensitive Groups
2024-06-28,2024,6,28,Monsoon,France,Nice,14.1,79.0,4.0,997.5,2.4,5.9,7.1,26.7,44.4,24.5,5.9,2.24,30.2,16.4,0.1,41,40,8,23978,120,Unhealthy for Sensitive Groups
2025-08-29,2025,8,29,Monsoon,Germany,Berlin,22.1,67.0,0.9,1009.0,2.5,4.2,4.8,44.0,68.9,34.0,12.0,2.05,38.5,18.7,0.48,56,41,49,16210,175,Unhealthy
2025-11-05,2025,11,5,Autumn,France,Nice,31.6,38.0,8.2,1019.3,2.7,2.5,7.0,45.9,84.3,31.4,8.1,1.38,30.3,7.6,0.66,50,50,38,12214,182,Unhealthy
2024-06-18,2024,6,18,Monsoon,Brazil,Sao Paulo,21.9,41.0,7.8,1011.4,0.1,9.1,6.8,38.8,75.3,31.7,10.6,1.96,59.3,8.9,0.44,33,61,35,20649,172,Unhealthy
2025-07-14,2025,7,14,Monsoon,South Africa,Cape Town,18.6,93.0,8.4,1006.0,0.0,9.1,6.0,54.4,89.6,45.5,8.4,1.46,27.8,25.2,0.48,48,23,9,15523,222,Very Unhealthy
2025-03-19,2025,3,19,Summer,Canada,Vancouver,15.2,47.0,7.5,1001.9,0.0,11.2,5.7,57.6,88.7,45.9,13.9,0.98,35.9,12.9,0.11,98,63,57,5310,230,Very Unhealthy
2024-11-01,2024,11,1,Autumn,France,Lyon,8.2,91.0,3.3,1005.3,1.8,3.9,6.5,43.8,60.3,23.4,8.9,0.59,17.7,3.9,0.83,52,54,45,14434,152,Unhealthy
2025-01-21,2025,1,21,Winter,Australia,Adelaide,5.3,44.0,9.2,1017.8,0.0,6.0,5.6,38.5,67.8,20.8,8.0,2.31,36.2,16.1,0.45,51,43,61,5422,144,Unhealthy for Sensitive Groups
2024-09-16,2024,9,16,Autumn,Germany,Hamburg,27.3,46.0,5.4,1011.3,0.0,6.9,5.9,39.4,78.3,28.6,12.3,0.95,40.5,29.4,0.55,64,64,48,1454,168,Unhealthy
2025-11-26,2025,11,26,Autumn,USA,Houston,32.3,57.0,10.8,1003.9,2.0,9.9,8.6,40.0,60.4,37.8,12.3,1.62,21.0,16.1,0.37,50,71,50,14291,156,Unhealthy
2025-02-26,2025,2,26,Winter,Germany,Hamburg,30.9,59.0,7.3,1001.9,4.9,6.7,9.2,25.0,58.8,29.9,11.4,1.8,29.8,11.5,0.93,69,61,43,12725,125,Unhealthy for Sensitive Groups
2024-01-27,2024,1,27,Winter,South Africa,Johannesburg,17.5,77.0,11.1,1019.7,6.8,7.0,5.6,68.8,97.6,43.1,10.4,0.97,36.8,10.2,0.75,42,30,20,9252,255,Very Unhealthy
2024-04-15,2024,4,15,Summer,Canada,Ottawa,19.6,82.0,7.9,1018.9,0.0,9.0,8.7,21.0,37.4,24.2,7.8,1.84,27.1,27.5,0.28,57,31,59,24117,91,Moderate
2024-12-07,2024,12,7,Winter,Australia,Sydney,37.6,44.0,6.8,1007.3,10.9,7.9,6.4,24.1,46.2,15.5,9.0,1.89,43.1,25.3,0.62,29,31,46,12884,101,Unhealthy for Sensitive Groups
2024-07-09,2024,7,9,Monsoon,Australia,Adelaide,2.7,59.0,4.4,999.5,10.0,6.6,7.1,40.3,79.6,24.7,12.2,1.38,29.4,7.2,0.75,87,99,69,19596,161,Unhealthy
2025-07-10,2025,7,10,Monsoon,Brazil,Salvador,23.5,71.0,11.5,1011.5,0.7,8.3,4.4,14.2,41.3,30.8,9.4,0.78,41.8,30.5,0.33,54,92,41,13305,95,Moderate
2024-05-09,2024,5,9,Summer,Australia,Sydney,15.3,59.0,10.9,1001.7,0.0,9.3,10.5,38.2,61.0,32.4,9.7,1.95,50.2,33.7,0.58,78,60,14,3498,175,Unhealthy
2025-08-30,2025,8,30,Monsoon,USA,Chicago,21.7,60.0,4.5,987.4,1.3,9.9,7.6,27.5,38.1,38.1,11.6,2.45,41.6,21.3,0.1,91,61,13,14860,145,Unhealthy for Sensitive Groups
2024-10-28,2024,10,28,Autumn,Australia,Adelaide,21.3,89.0,3.2,1007.8,1.4,6.8,5.7,18.9,29.9,30.3,7.4,2.31,50.1,15.8,0.41,80,61,35,12403,109,Unhealthy for Sensitive Groups
2025-03-24,2025,3,24,Summer,Australia,Sydney,23.6,56.0,2.3,1017.2,11.5,8.6,7.9,11.7,23.9,16.0,5.2,2.21,40.2,23.0,0.29,23,36,67,7300,53,Moderate
2024-11-20,2024,11,20,Autumn,India,Chennai,22.3,88.0,4.3,1000.5,1.9,3.6,4.8,81.1,108.5,30.1,12.4,2.13,41.2,31.0,0.36,66,72,46,6564,277,Very Unhealthy
2025-11-24,2025,11,24,Autumn,Germany,Berlin,31.0,66.0,8.3,1016.9,3.5,7.8,5.0,29.4,46.9,24.9,8.5,0.84,24.3,18.4,0.76,33,40,13,2303,123,Unhealthy for Sensitive Groups
2025-07-28,2025,7,28,Monsoon,South Africa,Bloemfontein,26.5,69.0,1.6,1022.1,1.7,6.8,5.7,56.0,70.9,36.5,14.8,1.54,32.1,15.6,1.08,90,64,32,8086,215,Very Unhealthy
2025-03-07,2025,3,7,Summer,China,Wuhan,24.6,35.0,9.1,1021.8,1.1,7.8,6.0,66.6,85.5,48.8,21.5,0.74,48.6,2.3,0.61,55,65,37,19136,256,Very Unhealthy
2024-10-18,2024,10,18,Autumn,USA,Los Angeles,14.5,83.0,1.0,1004.9,3.8,5.6,6.3,53.4,93.4,27.1,12.2,0.55,53.2,26.4,0.41,41,22,29,5408,211,Very Unhealthy
2025-04-18,2025,4,18,Summer,Germany,Berlin,23.0,85.0,7.0,1013.4,5.9,8.8,4.0,48.5,62.5,27.3,8.4,0.87,47.2,24.4,0.24,40,33,53,22880,174,Unhealthy
2024-10-08,2024,10,8,Autumn,Brazil,Curitiba,22.8,56.0,1.6,1013.5,12.3,7.1,5.3,31.1,54.2,12.0,15.0,0.46,33.0,18.8,0.36,52,78,44,17224,121,Unhealthy for Sensitive Groups
2025-07-30,2025,7,30,Monsoon,France,Toulouse,15.0,71.0,3.1,1020.1,14.3,8.1,5.9,22.1,36.8,35.6,12.0,1.74,52.6,17.8,0.75,72,61,20,1758,129,Unhealthy for Sensitive Groups
2025-10-31,2025,10,31,Autumn,Japan,Osaka,4.4,37.0,10.5,1008.9,0.0,6.2,2.6,33.9,50.9,47.1,14.4,1.25,34.1,25.6,0.33,78,90,69,8816,152,Unhealthy
2025-11-06,2025,11,6,Autumn,Brazil,Sao Paulo,15.1,88.0,4.2,1011.2,18.9,6.3,9.0,36.1,74.7,37.6,21.2,1.22,26.3,27.1,0.41,69,65,69,13613,158,Unhealthy
